ID,Metric Name,Definition,Footnote,Calculation,Usage Guidance,Primary Impact Category,Cross-Category,Impact Category & Theme,Agriculture,Smallholder Agriculture,Sustainable Agriculture,Food Security,Air,Clean Air,Biodiversity and Ecosystems,Biodiversity and Ecosystem Conservation,Climate,Climate Change Mitigation,Climate Resilience and Adaptation,Diversity and Inclusion,Gender Lens,Racial Equity,Education,Access to Quality Education,Employment,Quality Jobs,Energy,Energy Access,Clean Energy,Energy Efficiency,Financial Services,Financial Inclusion,Health,Access to Quality Healthcare,Nutrition,Infrastructure,Resilient Infrastructure,Land,Natural Resources Conservation,Sustainable Land Management,Sustainable Forestry,Oceans and Coastal Zones,Marine Resources Conservation & Management,Pollution,Pollution Prevention,Real Estate,Affordable Quality Housing,Green Buildings,Waste,Waste Management,Water,"Water, Sanitation and Hygiene (WASH)",Sustainable Water Management,Social and/or Environmental Focus,Environmental,Social,Section,Subsection,Citation,Metric Type,Related Metrics,Metric Level,Metric Quantity Type,Reporting Format,SDGs,SDG 1: No Poverty,SDG Target 1.1.,SDG Target 1.2.,SDG Target 1.3.,SDG Target 1.4.,SDG Target 1.5.,SDG Target 1.a.,SDG Target 1.b.,SDG 2: Zero Hunger,SDG Target 2.1.,SDG Target 2.2.,SDG Target 2.3.,SDG Target 2.4.,SDG Target 2.5.,SDG Target 2.a.,SDG Target 2.b.,SDG Target 2.c.,SDG 3: Good Health and Well-being,SDG Target 3.1.,SDG Target 3.2.,SDG Target 3.3.,SDG Target 3.4.,SDG Target 3.5.,SDG Target 3.6.,SDG Target 3.7.,SDG Target 3.8.,SDG Target 3.9.,SDG Target 3.a.,SDG Target 3.b.,SDG Target 3.c.,SDG Target 3.d.,SDG 4: Quality Education,SDG Target 4.1.,SDG Target 4.2.,SDG Target 4.3.,SDG Target 4.4.,SDG Target 4.5.,SDG Target 4.6.,SDG Target 4.7.,SDG Target 4.a.,SDG Target 4.b.,SDG Target 4.c.,SDG 5: Gender Equality,SDG Target 5.1.,SDG Target 5.2.,SDG Target 5.3.,SDG Target 5.4.,SDG Target 5.5.,SDG Target 5.6.,SDG Target 5.a.,SDG Target 5.b.,SDG Target 5.c.,SDG 6: Clean Water and Sanitation,SDG Target 6.1.,SDG Target 6.2.,SDG Target 6.3.,SDG Target 6.4.,SDG Target 6.5.,SDG Target 6.6.,SDG Target 6.a.,SDG Target 6.b.,SDG 7: Affordable and Clean Energy,SDG Target 7.1.,SDG Target 7.2.,SDG Target 7.3.,SDG Target 7.a.,SDG Target 7.b.,SDG 8: Decent Work and Economic Growth,SDG Target 8.1.,SDG Target 8.2.,SDG Target 8.3.,SDG Target 8.4.,SDG Target 8.5.,SDG Target 8.6.,SDG Target 8.7.,SDG Target 8.8.,SDG Target 8.9.,SDG Target 8.10,SDG Target 8.a.,SDG Target 8.b.,"SDG 9: Industry, Innovation and Infrastructure",SDG Target 9.1.,SDG Target 9.2.,SDG Target 9.3.,SDG Target 9.4.,SDG Target 9.5.,SDG Target 9.a.,SDG Target 9.b.,SDG Target 9.c.,SDG 10: Reduced Inequalities,SDG Target 10.1.,SDG Target 10.2.,SDG Target 10.3.,SDG Target 10.4.,SDG Target 10.5.,SDG Target 10.6.,SDG Target 10.7.,SDG Target 10.a.,SDG Target 10.b.,SDG Target 10.c.,SDG 11: Sustainable Cities and Communities,SDG Target 11.1.,SDG Target 11.2.,SDG Target 11.3.,SDG Target 11.4.,SDG Target 11.5.,SDG Target 11.6.,SDG Target 11.7.,SDG Target 11.a.,SDG Target 11.b.,SDG Target 11.c.,SDG 12: Responsible Consumption and Production,SDG Target 12.1.,SDG Target 12.2.,SDG Target 12.3.,SDG Target 12.4.,SDG Target 12.5.,SDG Target 12.6.,SDG Target 12.7.,SDG Target 12.8.,SDG Target 12.a.,SDG Target 12.b.,SDG Target 12.c.,SDG 13: Climate Action,SDG Target 13.1.,SDG Target 13.2.,SDG Target 13.3.,SDG Target 13.a.,SDG Target 13.b.,SDG 14: Life Below Water,SDG Target 14.1.,SDG Target 14.2.,SDG Target 14.3.,SDG Target 14.4.,SDG Target 14.5.,SDG Target 14.6.,SDG Target 14.7.,SDG Target 14.a.,SDG Target 14.b.,SDG Target 14.c.,SDG 15: Life on Land,SDG Target 15.1.,SDG Target 15.2.,SDG Target 15.3.,SDG Target 15.4.,SDG Target 15.5.,SDG Target 15.6.,SDG Target 15.7.,SDG Target 15.8.,SDG Target 15.9.,SDG Target 15.a.,SDG Target 15.b.,SDG Target 15.c.,"SDG 16: Peace, Justice and Institutions",SDG Target 16.1.,SDG Target 16.2.,SDG Target 16.3.,SDG Target 16.4.,SDG Target 16.5.,SDG Target 16.6.,SDG Target 16.7.,SDG Target 16.8.,SDG Target 16.9.,SDG Target 16.10.,SDG Target 16.a.,SDG Target 16.b.,SDG 17: Partnerships for the Goals,Dimensions of Impact,What,Who,How Much Scale,How Much Depth,How Much Duration,Contribution Depth,Contribution Duration,Risk,JII Impact Indicators,JII Gender,JII Jobs,JII Climate,Aligned JII Indicators,JII Guidance,Stakeholders,Clients,Distributors,Employees,Environment,Suppliers,Operational Impact,Environmental Policies & Performance,Social Policies & Performance,Governance & Ownership,Investment Lens,Gender,Geographic Setting,Minority and Disabled,Poverty Level,Small-and-Medium Enterprises,Financials,Balance Sheet,Cash Flow,Income Statement,Other Financial,IRIS Reports,Reporting Info,Organization Info,Discontinued Metrics
PI1653,Account Value,"Disaggregates a metric representing accounts in terms of the direction of their change in value during the reporting period.

Select any that apply:
- Increased in value during the reporting period
- Decreased in value or stayed the same value during the reporting period
- Other (write-in)","Organizations should footnote all assumptions used, including source of data or disaggregation and any other disaggregations applied.",,"This disaggregation, applied to another metric, is intended to capture the share of that metric in which the account value changed in the direction of the selected options. For example, when applied to Number of Voluntary Savings Accounts (PI6439) with the option ""Increased in value during the reporting period,"" this disaggregation would capture the number of savings accounts which increased in value during the reporting period.

Organizations should include accounts opened during the reporting period: if they have a positive balance, the account has increased in value; if they have a negative or zero balance, the account has decreased in value.",Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,Product Impact,,"IRIS, 2022. Account Value (PI1653). v5.3.",,,Product/Service,Flow,Yes/No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
FP2852,Accounts Payable,"Value, as of the end of the reporting period, of all outstanding debts that must be paid by the organization within a given period of time in order to avoid default.",,,"This metric is intended to capture the value of accounts payable by the organization, which are debts the organization owes that will be paid in the future according to negotiated terms. ",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Financial Performance,Balance Sheet,"IRIS, 2021. Accounts Payable (FP2852). v5.2.",Metric,,Organization,Stock,Reporting Currency (OD5990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
FP2213,Accounts Receivable,"Value, as of the end of the reporting period, of the organization’s outstanding debts from clients who received goods or services on credit.",,,"This metric is intended to capture the value of accounts receivable by the organization, which are debts clients owe the organization for goods or services provided that the organization expects to receive in the future according to negotiated terms. ",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Financial Performance,Balance Sheet,"IRIS, 2021. Accounts Receivable (FP2213). v5.2.",Metric,,Organization,Stock,Reporting Currency (OD5990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
PI9250,Active Borrowers per Loan Officer,Number of active borrowers (clients) per loan officer at the organization as of the end of the reporting period.,Organizations should footnote all assumptions used., = Client Individuals: Active (PI9327) / Loan Officers Employed (OI2818),"This metric is intended to capture the ratio between clients of the organization and loan officers. For financial institutions (including microfinance institutions), active borrowers refers to the number of individuals who currently have an outstanding loan balance with the organization.",Financial Services,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,X,Product Impact,Quality & Performance,"IRIS, 2021. Active Borrowers per Loan Officer (PI9250). v5.2.",Metric,,"Product/Service, Organization",Stock,Unit Referenced within Metric Definition,,X,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,X,,,X,,,X,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,
PI7985,Active Use,"Disaggregates another metric in terms of active use. For example, Client Individuals (PI4060) disaggregated by this metric, option ""active,"" would yield Active Users in many contexts. See usage guidance for further information.

Select one:
- Active
- Inactive
- Data not available
- Other (write-in)","Organizations should footnote all assumptions used, including source of disaggregation and any other disaggregations applied.",,"This disaggregation, applied to another metric, is intended to capture the share of that metric which is considered in or participating in active use.

For example, for financial institutions (including microfinance institutions), the disaggregation ""active"" applied to Client Individuals (PI4060) would include the number of individuals who currently have outstanding loan balances with the organization. For those financial institutions offering deposit products, the disaggregation ""active"" applied to Client Individuals (PI4060) would include the number of individuals who have active deposit accounts with the organization. For those financial institutions offering insurance products, the disaggregation ""active"" applied to Client Individuals (PI4060) would include those with active insurance policies. Wherever possible, organizations are encouraged to report and disaggregate the number of individuals, rather than the number of active groups or the number of active policies/accounts.

The definition of active may vary by offering. For example, for traditional financial services, “active” may include all individuals who have accounts registered in their names for at least six months and who have used their accounts to make transactions within the prior six months. For digital financial services, “active” may include individuals who have had accounts registered in their names for at least three months and who have used their accounts to make transactions within the prior three months.",Financial Services,,,,,,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,Product Impact,,"IRIS, 2022. Active Use (PI7985). v5.3.",,,Product/Service,Flow,Yes/No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
OI9101,Adaptation Needs Assessment ,"Describes the specific adaptation needs of the region targeted by the organization. The adaptation needs can be described by a list of actions and resources required to complete all stages of adaptation process that respond to the specific climate shocks in the short and long term, starting with the specific climate vulnerability of the region and community targeted.",Organizations should footnote all assumptions used. ,,"This metric is intended to describe the specific adaptation needs of the region targeted by the organization. There are different methodologies to conduct such assessment, the one below lists a number of approaches recommended by UNFCCC
a. Using participatory approaches;
b. Covering multiple climate and socioeconomic scenarios;
c. Considering both transboundary and domestic or local climate risks, as well as compound and cascading risks;
d. Employing an adaptive risk management or pathways approach;
e. Considering transformational adaptation options in addition to incremental actions;
f. Conducting integrated assessments of capacity, technological and financial needs. 

Example frameworks to conduct such needs assesments include ESMAP Toolkit by World Bank, US Climate Resilience Toolkit etc. View Climate Vulnerability Status (PI1002) metric for further guidance.",,,,,X,X,X,,X,,X,,,X,,X,X,,X,,X,,X,X,X,,X,,X,X,,X,,X,X,X,,X,,X,,X,X,,X,,X,X,,X,X,Operational Impact,,"IRIS, 2024. Adaptation Needs Assessment (OI9101). v5.3a.",Metric,,"Product/Service, Organization",Stock,Text,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,X,X,,,,,,,,X,X,,,,,,,,,X,,,X,,,,,,,X,,,,,,,,,,X,,,,X,,,,X,,,,X,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,X,,,,X,X,X,,,,X,X,,X,X,,X,X,,,X,X,X,X,X,,,,,,,,,
PI4180,After-sale Client Support,Indicates whether the organization provides support to its clients after a sale of its product/service.,"Organizations should footnote the type of support that is provided, costing information, and details on how clients can access these services.",,"This metric is intended to capture whether an organization provides after-sale support, which can include a range of services to help clients use a product they purchased from the organization, including but not limited to assistance in installation, product use training, troubleshooting, maintenance, and upgrade or disposal of the product.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Quality & Performance,"IRIS, 2021. After-sale Client Support (PI4180). v5.2.",Metric,,"Product/Service, Organization",Stock,Yes/No,,X,,,,X,X,,,X,X,X,X,X,,,,,X,X,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,X,,,,,,X,,,,X,X,X,X,X,,,,,X,X,X,X,,,X,X,X,X,X,,,,,,X,,,X,X,,X,X,,,,,X,X,X,X,,,,,,,X,X,X,X,X,,X,X,,,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
OI9331,Anti-Discrimination Policy,"Indicates whether the organization has a specific, written anti-discrimination policy in place for its employees and a system to monitor compliance with this policy.


","Organizations should footnote details about the policy, including the types of discrimination protected against and the systems in place to ensure compliance. See usage guidance for further information.",,"This metric is intended to capture the organization’s policy to combat discrimination in the workplace. Anti-discrimination policies, often called non-discrimination or equal employment opportunity policies, prohibit or penalize discrimination on the basis of age; color; disability; gender expression; gender identity; HIV status; marital status; national, social, or ethnic origin; participation in collective bargaining agreements; political opinion; race; religion; or sexual orientation. Such policies prohibit making recruitment, compensation, termination, promotion, or any other conditions of employment contingent upon any of the affiliations listed above for any employee or job applicant.

Organizations can refer to the following sources for additional information on best practices:

- Human Rights Campaign: Workplace Discrimination (http://www.hrc.org/resources/entry/Workplace-Discrimination-Policies-Laws-and-Legislation)
- Human Rights Campaign: Equal Employment Opportunity (http://www.hrc.org/resources/entry/sample-equal-employment-opportunity-policies)",Cross-Category,X,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Operational Impact,Social Policies,"IRIS, 2021. Anti-Discrimination Policy (OI9331). v5.2.",Metric,,Organization,Stock,Yes/No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,,X,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,,X,,X,,,,,,,,,,,
PI5750,Area of Adjacent Protected Land,Area of protected land that shares a boundary with the organization's protected land as of the end of the reporting period.,Organizations should footnote all assumptions used. See usage guidance for further information.,,"This metric is intended to capture protected land assemblage, the area of protected land not controlled by the organization but adjacent to land controlled by the reporting organization.

Organizations should report all land area controlled by other entities that forms a contiguous assemblage with protected land area directly or indirectly controlled by the reporting organization.

For many conservation objectives, large, connected areas of conserved land are more valuable than small, disconnected pieces of conserved land. This metric helps capture holistically how a specific project complements previous conservation work. Adjacent land that is also subject to conservation measures maximizes the impact of conservation measures in newly protected areas. Potential adverse effects of adjacent land use, which organizations can footnote, may extend into the protected area. On the other hand, the transition area (ecotone) between the protected area and adjacent land can provide edge habitats that support rich biodiversity.

Remote sensing data or field visits can capture the area and land use of adjacent parcels, including details on their extent, vegetation, species, and relief, which can help optimize management in controlled area. Organizations may footnote whether neighboring land is under deliberate management, has future plans for conversation or use, or has owner(s) with potential interest in cooperating on conservation management.",Land,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,X,,Product Impact,Quality & Performance,"IRIS, 2021. Area of Adjacent Protected Land (PI5750). v5.2.",Metric,,"Product/Service, Organization",Stock,Unit of Measure (PD1602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
PI9170,Area of Buildings Reused,Area of buildings projected to be renovated or remodeled for building reuse as a result of investments made by the organization during the reporting period.,Organizations should footnote details on why the renovated or remodeled building areas qualify for reuse.,,"This metric is intended to capture the area of reused buildings that will be renovated or remodeled as a result of investments made by the organization during the reporting period. In order to qualify for reuse, the time elapsed since the completion of original construction must meet or exceed 40 years.

Buildings are often renovated or remodeled for reuse to conserve resources, extend the life of existing building stock, retain cultural resources, reduce waste, and avoid the additional environmental impacts of new construction.

",Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,X,Product Impact,Quality & Performance,"IRIS, 2021. Area of Buildings Reused (PI9170). v5.2.",Metric,,"Product/Service, Organization",Flow,Unit of Measure (PD1602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
